Date,Carbohydrates,Fiber,Protein,Fat
2023-01-03,654.38,0.0,113.28,260.07
2023-01-05,831.38,0.0,0.46,15.31
2023-01-07,526.7,0.0,179.95,106.7
2023-01-09,34.35,18.42,9.69,11.37
2023-01-10,1183.45,0.0,0.0,0.0
2023-01-12,44.8,8.5,20.52,6.58
2023-01-13,1602.0,0.0,40.0,8.0
2023-01-14,226.0,0.0,33.6,113.2
2023-01-16,1658.0,32.8,186.8,160.38
2023-01-17,2103.38,0.0,87.02,12.0
2023-01-18,932.29,1.11,130.05,297.96
2023-01-20,123.3,0.0,265.5,460.8
2023-01-25,87.83,0.0,318.67,1542.42
2023-01-31,201.02,22.32,22.69,9.97
2023-02-01,415.45,20.92,45.78,96.57
2023-02-03,305.31,2.09,63.49,111.61
2023-02-06,563.62,2.25,40.88,59.15
2023-02-07,474.73,0.62,35.02,20.56
2023-02-10,615.58,3.02,22.86,17.6
2023-02-11,8150.0,0.0,750.0,90.0
2023-02-13,311.53,9.53,42.52,91.67
2023-02-14,599.91,10.3,43.15,122.89
2023-02-15,805.53,0.0,3.32,9.6
2023-02-16,798.04,1.67,214.95,795.54
2023-02-17,526.02,0.0,47.52,5.28
2023-02-18,11025.0,0.0,0.0,0.0
2023-02-20,40.88,0.0,0.0,0.0
2023-02-21,2458.86,21.85,65.58,32.87
2023-02-22,2716.38,0.0,68.75,22.75
2023-02-23,1258.38,24.37,89.94,82.36
2023-02-24,4857.14,15.24,386.14,680.22
2023-02-27,0.0,0.0,0.0,830.0
2023-03-01,316.25,0.25,2.0,16.0
2023-03-03,20.16,0.0,49.6,27.2
2023-03-07,173.39,2.67,12.59,52.06
2023-03-09,1021.4,0.0,7.2,16.0
2023-03-10,1096.58,24.92,85.81,30.98
2023-03-11,105.0,10.0,128.35,97.75
2023-03-12,323.2,0.0,14.4,2.4
2023-03-14,400.6,0.2,20.4,28.8
2023-03-16,534.05,0.0,94.03,13.63
2023-03-17,3860.0,0.0,355.0,145.0
2023-03-18,1439.76,33.6,84.0,52.08
2023-03-20,476.82,33.56,39.62,217.24
2023-03-22,691.6,0.0,60.26,41.63
2023-03-23,140.0,0.0,80.0,165.0
2023-03-29,822.95,11.67,264.89,137.22
2023-03-30,382.89,0.0,66.38,41.79
2023-03-31,999.0,0.0,0.0,0.0
2023-04-05,15440.0,0.0,1420.0,580.0
2023-04-08,21.51,0.0,8.68,4.45
2023-04-13,72.25,17.0,15.3,1.7
